172.22.247.160/27    [AS4242420128i]
172.23.212.128/25    [AS4242421102i]
10.11.0.0/24         [AS4242420731i]
172.20.56.0/25       [AS4242421233i]
10.100.248.112/28    [AS4242422481i]
172.20.39.128/25     [AS4242421968i]
172.22.176.0/24      [AS4242420410i]
10.127.13.2/32       [AS4201270013i]
172.20.120.0/23      [AS4242420241i]
172.20.239.64/26     [AS4242420442i]
172.20.54.192/26     [AS4242421968i]
172.22.138.0/24      [AS64738i]
10.30.128.0/20       [AS65043i]
172.23.147.0/24      [AS64742i]
172.20.231.144/28    [AS4242423513?]
172.20.239.0/26      [AS4242420442i]
172.20.54.128/26     [AS4242421968i]
172.20.139.0/25      [AS4242421968i]
172.20.38.0/24       [AS4242421968i]
172.22.137.32/27     [AS424242236i]
172.22.227.0/24      [AS64827i]
172.20.58.64/26      [AS4242423556i]
10.60.255.0/24       [AS65043i]
172.22.189.120/29    [AS209557i]
172.20.137.0/24      [AS4242423558i]
fdc8:c633:5319:5002::/64 [AS206885i]
fd39:e4e3:eee1::/64  [AS65534i]
fd10:1074:41f6::/48  [AS64752i]
fd10:127:7::/48      [AS4201270007i]
fdc7:5384:30::/64    [AS65043i]
fdec:c6a:4002:100::/56 [AS4242420977i]
fda1:384a:74de::/48  [AS4242423214?]
fd0b:4340:a0::/44    [AS205532i]
fd1b:7f7d:dd55:4701::/64 [AS4242420046?]
fd1b:7f7d:dd55:4600::/64 [AS4242420046?]
fd1b:7f7d:dd55:4600::/56 [AS4242420046i]
fd1b:7f7d:dd55:4700::/56 [AS4242420047i]
fd98:de34:62e8::/48  [AS424242236i]
fdef:17a0:ffb1:300::/64 [AS4242420022i]
fd48:2191:3278::/48  [AS4242421102i]
fda0:23:1f05:2::/64  [AS4242423513i]
fd23:c7b4:a2c8::/56  [AS4242420442i]
fd42:4242:2601:ffff::/64 [AS4242422601i]
fda1:384a:74de:4242::/64 [AS4242423214?]
